注文番号,時間(Open Time),取引種別,数量,通貨ペア,価格,決済逆指値(S/L),決済指値(T/P),時間(Close Time),価格,手数料,税,スワップ,損益,MagicNo,コメント
98353798,2024.06.03 07:00:00,buy,0.24,USDJPY,157.423,156.989,0,2024.06.03 13:09:08,156.988,0,0,0,-10440,20240512,STR01_USDJPY_H1[sl]
98369857,2024.06.03 18:00:00,sell,0.14,USDJPY,156.202,155.208,0,2024.06.04 14:13:20,155.209,0,0,0,13902,20240512,STR01_USDJPY_H1[sl]
98371282,2024.06.03 19:00:00,sell,0.12,USDJPY,156.036,156.937,0,2024.06.04 01:31:41,156.154,0,0,0,-1416,20240512,STR01_USDJPY_H1
98382633,2024.06.04 00:02:08,balance,0.01,,0,0,0,2024.06.04 00:02:08,0,0,0,0,-303,,RO 98369857 S 0.14 USDJPY
98382634,2024.06.04 00:02:08,balance,0.01,,0,0,0,2024.06.04 00:02:08,0,0,0,0,-260,,RO 98371282 S 0.12 USDJPY
98421882,2024.06.04 11:00:00,sell,0.05,USDJPY,155.385,155.208,0,2024.06.04 13:52:59,154.851,0,0,0,2670,20240512,to #98428172
98424127,2024.06.04 12:00:00,sell,0.05,USDJPY,155.264,156.306,0,2024.06.04 13:40:52,154.78,0,0,0,2420,20240512,to #98427606
98426129,2024.06.04 13:00:00,sell,0.05,USDJPY,155.158,156.209,0,2024.06.04 17:00:03,154.611,0,0,0,2735,20240512,to #98434482
98427606,2024.06.04 12:00:00,sell,0.05,USDJPY,155.264,155.208,0,2024.06.04 14:13:20,155.209,0,0,0,275,20240512,from #98424127[sl]
98428172,2024.06.04 11:00:00,sell,0.05,USDJPY,155.385,155.208,0,2024.06.04 14:13:20,155.209,0,0,0,880,20240512,from #98421882[sl]
98428392,2024.06.04 14:00:00,sell,0.1,USDJPY,154.933,155.958,0,2024.06.05 02:44:08,155.147,0,0,0,-2140,20240512,STR01_USDJPY_H1
98434482,2024.06.04 13:00:00,sell,0.05,USDJPY,155.158,155.06,0,2024.06.04 17:10:04,155.064,0,0,0,470,20240512,from #98426129[sl]
98451209,2024.06.05 00:02:11,balance,0.01,,0,0,0,2024.06.05 00:02:11,0,0,0,0,-216,,RO 98428392 S 0.10 USDJPY
98487885,2024.06.05 09:00:00,buy,0.18,USDJPY,155.644,155.349,0,2024.06.05 10:44:49,156.143,0,0,0,8982,20240512,to #98490028
98488945,2024.06.05 10:00:01,buy,0.1,USDJPY,155.901,155.349,0,2024.06.05 17:11:17,156.401,0,0,0,5000,20240512,to #98499556
98490028,2024.06.05 09:00:00,buy,0.18,USDJPY,155.644,155.8,0,2024.06.05 16:31:28,155.797,0,0,0,2754,20240512,from #98487885[sl]
